"OrderNumber","Sales Channel","OrderDate","CustomerID","Unit Price","Final Price"
"SO - 0001000","In-Store","2018-09-13",27,1286.4,1093.44
"SO - 0001001","Online","2018-09-13",46,174.2,139.36
"SO - 0001002","Distributor","2018-09-13",28,5259.5,4470.58
"SO - 0001003","Distributor","2018-09-13",48,6512.4,3907.44
"SO - 0001004","In-Store","2018-09-13",39,1701.8,1574.17
"SO - 0001005","Online","2018-09-13",21,3832.4,3449.16
"SO - 0001006","Distributor","2018-09-13",38,1775.5,1509.18
"SO - 0001007","Online","2018-09-13",29,1922.9,1634.47
"SO - 0001008","Wholesale","2018-09-13",23,891.1,846.55
"SO - 0001009","In-Store","2018-09-14",3,3289.7,3042.97
"SO - 000101","In-Store","2018-05-31",15,1963.1,1815.87
"SO - 0001010","Distributor","2018-09-14",2,1078.7,1024.77
"SO - 0001011","Wholesale","2018-09-14",19,3886,3691.7
"SO - 0001012","Online","2018-09-14",21,1681.7,1597.62
"SO - 0001013","Wholesale","2018-09-14",19,1065.3,985.4
"SO - 0001014","Distributor","2018-09-14",32,3912.8,3130.24
"SO - 0001015","Online","2018-09-14",9,3819,2673.3
"SO - 0001016","Online","2018-09-14",22,1025.1,948.22
"SO - 0001017","Distributor","2018-09-14",8,3202.6,2722.21
"SO - 0001018","In-Store","2018-09-14",49,5306.4,4775.76
"SO - 0001019","In-Store","2018-09-14",14,1849.2,1710.51
"SO - 000102","Online","2018-05-31",20,3939.6,3644.13
"SO - 0001020","Online","2018-09-14",3,194.3,174.87
"SO - 0001021","In-Store","2018-09-14",41,1051.9,999.31
"SO - 0001022","Online","2018-09-14",36,1809,1628.1
"SO - 0001023","In-Store","2018-09-15",13,214.4,182.24
"SO - 0001024","In-Store","2018-09-15",40,3530.9,3266.08
"SO - 0001025","In-Store","2018-09-15",44,1038.5,623.1
"SO - 0001026","Online","2018-09-15",50,3470.6,3210.31
"SO - 0001027","Distributor","2018-09-15",14,2659.9,2260.92
"SO - 0001028","Online","2018-09-15",24,1118.9,1062.96
"SO - 0001029","In-Store","2018-09-15",46,3892.7,2335.62
"SO - 000103","Distributor","2018-05-31",16,1775.5,1686.73
"SO - 0001030","In-Store","2018-09-15",47,2003.3,1853.05
"SO - 0001031","Online","2018-09-15",26,998.3,948.39
"SO - 0001032","In-Store","2018-09-16",45,2546,2418.7
"SO - 0001033","Online","2018-09-16",29,2552.7,2361.25
"SO - 0001034","In-Store","2018-09-16",22,3839.1,3647.15
"SO - 0001035","Distributor","2018-09-16",41,6076.9,5773.06
"SO - 0001036","Distributor","2018-09-16",37,1051.9,841.52
"SO - 0001037","Distributor","2018-09-16",45,1132.3,1047.38
"SO - 0001038","In-Store","2018-09-17",8,2961.4,2813.33
"SO - 0001039","In-Store","2018-09-17",39,3396.9,3227.06
"SO - 000104","Wholesale","2018-05-31",48,2324.9,2150.53
"SO - 0001040","In-Store","2018-09-17",34,5728.5,4582.8
"SO - 0001041","Distributor","2018-09-17",46,2224.4,2113.18
"SO - 0001042","Online","2018-09-17",42,3986.5,3687.51
"SO - 0001043","Wholesale","2018-09-17",39,5681.6,5113.44
"SO - 0001044","Distributor","2018-09-18",39,5272.9,4877.43
"SO - 0001045","Distributor","2018-09-18",24,1125.6,900.48
"SO - 0001046","Online","2018-09-18",37,690.1,655.6
"SO - 0001047","In-Store","2018-09-18",29,2546,2418.7
"SO - 0001048","In-Store","2018-09-18",9,3035.1,2731.59
"SO - 0001049","Online","2018-09-18",16,4006.6,3806.27
"SO - 000105","Distributor","2018-05-31",49,1822.4,1640.16
"SO - 0001050","In-Store","2018-09-19",24,3892.7,3503.43
"SO - 0001051","In-Store","2018-09-19",45,2566.1,2309.49
"SO - 0001052","In-Store","2018-09-19",44,1333.3,1233.3
"SO - 0001053","In-Store","2018-09-19",20,1051.9,999.31
"SO - 0001054","Wholesale","2018-09-19",49,3946.3,3748.99
"SO - 0001055","Distributor","2018-09-19",26,1118.9,1062.96
"SO - 0001056","Online","2018-09-19",50,2881,2664.93
"SO - 0001057","In-Store","2018-09-20",23,2224.4,2113.18
"SO - 0001058","Online","2018-09-20",39,1011.7,935.82
"SO - 0001059","Distributor","2018-09-20",16,167.5,134
"SO - 000106","Online","2018-05-31",21,1038.5,986.58
"SO - 0001060","In-Store","2018-09-20",4,1139,1082.05
"SO - 0001061","Distributor","2018-09-20",44,167.5,159.13
"SO - 0001062","In-Store","2018-09-20",29,864.3,821.09
"SO - 0001063","In-Store","2018-09-20",44,2914.5,2768.78
"SO - 0001064","Distributor","2018-09-21",41,5293,5028.35
"SO - 0001065","In-Store","2018-09-21",39,924.6,739.68
"SO - 0001066","In-Store","2018-09-21",47,884.4,795.96
"SO - 0001067","Online","2018-09-21",3,2458.9,1475.34
"SO - 0001068","In-Store","2018-09-21",42,924.6,878.37
"SO - 0001069","In-Store","2018-09-21",12,6344.9,6027.66
"SO - 000107","In-Store","2018-05-31",14,1192.6,1013.71
"SO - 0001070","Online","2018-09-21",14,3932.9,2359.74
"SO - 0001071","Distributor","2018-09-22",3,1112.2,1028.79
"SO - 0001072","Distributor","2018-09-22",46,904.5,768.83
"SO - 0001073","Online","2018-09-22",50,1165.8,1078.37
"SO - 0001074","In-Store","2018-09-22",14,174.2,148.07
"SO - 0001075","In-Store","2018-09-22",27,2378.5,2200.11
"SO - 0001076","In-Store","2018-09-22",18,1025.1,922.59
"SO - 0001077","In-Store","2018-09-22",11,3839.1,3551.17
"SO - 0001078","Online","2018-09-22",11,1031.8,877.03
"SO - 0001079","Wholesale","2018-09-22",7,1005,954.75
"SO - 000108","In-Store","2018-05-31",9,1815.7,1724.92
"SO - 0001080","Distributor","2018-09-23",31,3886,3691.7
"SO - 0001081","In-Store","2018-09-23",30,1125.6,956.76
"SO - 0001082","In-Store","2018-09-23",43,3899.4,3509.46
"SO - 0001083","Online","2018-09-23",5,1842.5,1750.38
"SO - 0001084","Online","2018-09-23",11,201,190.95
"SO - 0001085","Online","2018-09-23",32,1768.8,1680.36
"SO - 0001086","In-Store","2018-09-23",24,5996.5,3597.9
"SO - 0001087","Online","2018-09-23",15,2525.9,2336.46
"SO - 0001088","Distributor","2018-09-23",42,1005,954.75
"SO - 0001089","Online","2018-09-23",16,944.7,661.29
"SO - 000109","In-Store","2018-06-01",9,3879.3,2715.51
"SO - 0001090","Online","2018-09-23",49,1681.7,1177.19
"SO - 0001091","Online","2018-09-24",20,180.9,144.72
"SO - 0001092","Online","2018-09-24",40,1896.1,1801.3
"SO - 0001093","In-Store","2018-09-24",41,804,743.7
"SO - 0001094","In-Store","2018-09-24",31,1112.2,1000.98
"SO - 0001095","Online","2018-09-24",18,971.5,874.35
"SO - 0001096","Online","2018-09-24",30,2465.6,2342.32
"SO - 0001097","In-Store","2018-09-24",34,2659.9,2526.91
